"sku_id","category","name","mrp","discountprecent","availablequantity","discountedsellingprice","weightingms","outofstock","quantity"
670,"Fruits & Vegetables","Onion",25.00,16.00,3,21.00,1000,False,1
671,"Fruits & Vegetables","Tomato Hybrid",42.00,16.00,3,35.00,1000,False,1
712,"Fruits & Vegetables","Guava",54.00,16.00,3,45.00,232,False,4
1511,"Munchies","Popular Essentials Ajwain Whole",50.00,12.00,2,44.00,100,False,100
1941,"Beverages","iD Curd Cup",60.00,0.00,6,60.00,400,False,400
1989,"Beverages","Go Pizza Cheese",140.00,5.00,6,133.00,200,False,200
2421,"Packaged Food","Safal Frozen - Sweet Corn",160.00,5.00,0,152.00,1000,True,1
2672,"Ice Cream & Desserts","Kellogg's Chocos",299.00,10.00,4,269.00,700,False,700
2801,"Ice Cream & Desserts","Top Ramen Masala",91.00,9.00,0,82.00,560,True,560
3180,"Chocolates & Candies","Safal Frozen Corn",41.00,4.00,0,39.00,200,True,200
3324,"Biscuits","Parle Rusk Elaichi",48.00,2.00,6,47.00,300,False,300
3463,"Personal Care","Dabur Amla Hair Oil",88.00,0.00,2,88.00,180,False,180
3657,"Personal Care","Johnson's Baby Oil",115.00,0.00,4,115.00,100,False,100
3778,"Paan Corner","Indulekha Bhringa Hair Oil",432.00,15.00,6,367.00,100,False,100
3850,"Paan Corner","Godrej Protekt",99.00,0.00,3,99.00,750,False,750
4236,"Home & Cleaning","Ariel Matic Liquid Detergent Front Load",250.00,0.00,6,250.00,1000,False,1
672,"Fruits & Vegetables","Tender Coconut",51.00,15.00,3,43.00,58,False,1
673,"Fruits & Vegetables","Coriander Leaves",20.00,15.00,3,17.00,100,False,100
674,"Fruits & Vegetables","Ladies Finger ",14.00,14.00,3,12.00,250,False,250
675,"Fruits & Vegetables","Potato",35.00,17.00,3,29.00,1000,False,1
676,"Fruits & Vegetables","Lemon",75.00,16.00,3,63.00,200,False,200
677,"Fruits & Vegetables","Watermelon ",58.00,15.00,3,49.00,58,False,1
678,"Fruits & Vegetables","Capsicum Green ",23.00,17.00,3,19.00,250,False,250
679,"Fruits & Vegetables","Chilli Green ",19.00,15.00,3,16.00,100,False,100
680,"Fruits & Vegetables","Banana Robusta",29.00,17.00,3,24.00,348,False,6
681,"Fruits & Vegetables","Garlic Indian ",11.00,18.00,3,9.00,100,False,100
682,"Fruits & Vegetables","Cauliflower",26.00,15.00,3,22.00,58,False,1
683,"Fruits & Vegetables","Ginger",14.00,14.00,3,12.00,200,False,200
684,"Fruits & Vegetables","Spinach",19.00,15.00,3,16.00,250,False,250
685,"Fruits & Vegetables","Muskmelon",42.00,16.00,3,35.00,58,False,1
686,"Fruits & Vegetables","Cabbage ",15.00,13.00,3,13.00,58,False,1
687,"Fruits & Vegetables","Methi",30.00,16.00,3,25.00,250,False,250
688,"Fruits & Vegetables","Broccoli",36.00,16.00,3,30.00,500,False,500
689,"Fruits & Vegetables","Sapota",30.00,16.00,3,25.00,348,False,6
690,"Fruits & Vegetables","Onion",68.00,16.00,3,57.00,3000,False,3
691,"Fruits & Vegetables","Potato",100.00,16.00,3,84.00,3000,False,3
692,"Fruits & Vegetables","Orange Nagpur",82.00,15.00,3,69.00,232,False,4
693,"Fruits & Vegetables","Mint Leaves ",11.00,18.00,3,9.00,100,False,100
694,"Fruits & Vegetables","Beans French",33.00,15.00,3,28.00,250,False,250
